sending_region,receiving_region,milliseconds
europe-southwest1,asia-south2,147.318
asia-south2,europe-southwest1,147.323
europe-west4,northamerica-northeast2,91.175
northamerica-northeast2,europe-west4,91.238
europe-west2,me-central1,121.283
me-central1,europe-west2,121.283
europe-southwest1,australia-southeast2,278.181
me-central1,europe-west8,109.63
europe-west8,me-central1,109.65
southamerica-east1,europe-southwest1,191.758
europe-southwest1,southamerica-east1,191.735
northamerica-northeast2,us-east4,20.967
us-east4,northamerica-northeast2,20.967
me-west1,asia-south1,90.344
asia-south1,me-west1,90.347
asia-southeast2,asia-east1,58.294
asia-east1,asia-southeast2,58.04
southamerica-east1,us-west1,168.754
us-west1,southamerica-east1,168.762
europe-west9,europe-west6,14.618
europe-west6,europe-west9,14.62
europe-west2,europe-west1,6.165
europe-west1,europe-west2,6.144
australia-southeast2,australia-southeast1,13.271
australia-southeast1,australia-southeast2,13.283
asia-southeast2,us-east1,230.687
us-east1,asia-southeast2,230.689
southamerica-east1,asia-south2,331.825
asia-south2,southamerica-east1,331.831
us-west2,us-central1,47.25
us-central1,us-west2,47.264
europe-west2,europe-southwest1,23.617
europe-southwest1,europe-west2,23.625
northamerica-northeast2,australia-southeast2,202.446
australia-southeast2,northamerica-northeast2,202.443
me-west1,australia-southeast2,235.606
australia-southeast2,me-west1,235.605
europe-west2,europe-west6,17.203
europe-west6,europe-west2,17.201
us-west4,us-central1,42.706
us-central1,us-west4,42.693
europe-west4,europe-west3,7.045
europe-west3,europe-west4,7.05
us-east1,us-west3,51.293
us-west3,us-east1,51.302
us-east4,us-east5,8.406
us-east5,us-east4,8.425
asia-southeast2,asia-east2,48.974
asia-east2,asia-southeast2,48.961
asia-south2,asia-northeast3,140.904
asia-northeast3,asia-south2,140.897
asia-northeast1,asia-northeast3,31.146
asia-northeast3,asia-northeast1,31.136
me-central1,asia-southeast2,108.156
asia-southeast2,me-central1,108.153
australia-southeast1,northamerica-northeast2,190.629
northamerica-northeast2,australia-southeast1,190.649
me-central1,asia-south1,35.089
asia-south1,me-central1,35.1
australia-southeast2,asia-east1,129.888
asia-east1,australia-southeast2,129.887
australia-southeast2,asia-northeast3,138.972
asia-northeast3,australia-southeast2,138.995
me-west1,asia-south2,114.816
asia-south2,me-west1,114.834
europe-west2,europe-west9,7.272
europe-west9,europe-west2,7.299
europe-west8,asia-south2,140.551
asia-south2,europe-west8,140.549
europe-west4,asia-southeast1,198.012
us-east5,asia-southeast2,219.589
